question,choices,good_choices
Qu'est-ce que GAEL ?,La plateforme qui répertorie tout les services de la CNJE;L'intranet des Junior-Entreprises;Un plan d'action spécifique;L'outil utilisé pour les audits,L'outil utilisé pour les audits
En quelle année la campagne d'audit-conseil a-t-elle été mise en place ?,"En 1993, avec le soutien de EY;En 1995, avec le soutien de KPMG;En 1992, avec le soutien de KPMG;En 2012, avec le soutien de KPMG","En 1992, avec le soutien de KPMG"
Quelle est la plateforme pour créer les comptes kiwi des membres de votre Junior ?,Kiwi Formation;Kiwi X;Kiwi Légal;Junior-Entreprise.org,Kiwi X
Qu'est que le COS de la CNJE ?,Le Comité d'Objectifs Stratégiques;Aucune des trois réponses;Le Conseil d'Orientation Stratégique;Le Comité d'Orientation Stratégique,Le Comité d'Orientation Stratégique
Quel est le pôle de la CNJE chargé d'accompagner le développement des Junior-Créations et Junior-Initiatives ?,Le pôle accompagnement;Le pôle audit;Le pôle conseil;Le pôle performance,Le pôle accompagnement
Quel document est mis en place par la CNJE à la suite d'une sanction satisfaisant lors d'un audit?,Un plan de développement;Une road map;Aucun;Un cahier des charges,Un plan de développement
Première Junior du mouvement,Junior HEC;junior centralesupélec;Junior ESSEC;Marketing Méditerranée,Junior ESSEC
Que signifie CNJE ?,Conseil Nationale des Junior-Entreprises;Conseil national des Junior-Entrepreneurs;Confédération Nationale des Junior-Entreprises;Confédération Nationale des Junior-Entrepreneurs,Confédération Nationale des Junior-Entreprises
Quel type de Junior n'existe pas ?,Junior Création;Junior Initiative;Pépinière Junior-Entreprise;Junior-Entreprise,Pépinière Junior-Entreprise
"Dans ces propositions, lequel de ces éléments ne fait pas partie de l'objet social des Junior-Entreprises ?",Réalisation d'un livrable tangible de qualité;Compléter et prolonger l’enseignement théorique,Réalisation d'un livrable tangible de qualité
Quel processus ne fait pas partie des 4 processus organisationnels définis dans la Norme J.E. ?,Suivi Etude;Cadre Légal et Réglementaire;Gestion des Ressources Humaines;Stratégie & Pilotage,Suivi Etude
Qui a créé JEE et quand ?,"JE Global a créé la JADE en 1992, renommée depuis en JEE.;La CNJE a créé la JADE en 1992, renommée depuis en JEE.;JE Global a créé la JADE en 2012, renommée depuis en JEE.;La CNJE a créé la JADE en 2012, renommée depuis en JEE.","La CNJE a créé la JADE en 1992, renommée depuis en JEE."
Est-il possible pour un établissement d'enseignement supérieur d'abriter deux Juniors ?,"Non c'est interdit;Oui, la première absorbe la deuxième;Oui, les deux Juniors doivent fusionner;Oui, la seconde Junior créée doit obtenir l'accord de la première","Oui, la seconde Junior créée doit obtenir l'accord de la première"
Pour obtenir la Norme J.I. il faut ?,"3 études, 3 intervenants différents et un CA de 6 000€ HT facturé;2 études, 2 intervenants différents et un CA de 1 500€ HT facturé;3 études, 3 intervenants diférrents et un CA de 6 000€ HT signé;2 études, 2 intervenants différents et un CA de 1 500€ HT signé","2 études, 2 intervenants différents et un CA de 1 500€ HT signé"
Quelle est la plateforme en cas de question sur le cadre légal des Junior-Entreprise ?,Junior-Entreprise.org;Kiwi;Kiwi Légal;Kiwi Formation,Kiwi Légal
En quelle année le Prix d'Excellence a-t-il été créé ?,En 2019;En 2002;En 1987;En 1998,En 1987
De quand date la première Norme J.E. ?,2015;2016;2020;2018,2018
Quel est le chiffre d'affaire global du mouvement ? (En 2021),"1 million €;6 million €;2 million €;11,175 million €","11,175 million €"
Quelle est la date de création de la CNJE,1969;1901;1967;1984,1969
De quand date la dernière Norme J.E. ?,2018;2022;2015;2021,2022
Quelles sont les différentes sanctions d'audit-conseil pour une Junior-Entreprise?,"Satisfaisant, AC,BS, PPU, Rétrogradation, Radiation;Satisfaisant, AS, AF, PPU, Rétrogradation, Radiation;Satisfaisant, AC, AF, PPU, Rétrogradation, Radiation","Satisfaisant, AC, AF, PPU, Rétrogradation, Radiation"
Qui a porté plainte contre une Junior du mouvement en 1988 ? (qui a donner lieu à un texte de loi par la suite),Un intervenant;Les URSSAF;L'état français;Le FISC,Les URSSAF
Combien existe-t-il de types d'auditeurs-conseil différents et quels sont-ils ?,"3 types différents : trésorerie, étude et organisationnel;3 types différents : J.E., J.I. et J.C.;2 types différents : trésorerie et organisationnel;2 types différents : auditeur-conseil junior et auditeur-conseil senior",2 types différents : trésorerie et organisationnel
Qu'est-ce que les Excellence Awards ? Quand sont-ils remis ?,Ce sont des prix décernés par JEE pendant la Winter Conference à Bruxelles;Ce sont des prix décernés par la CNJE pendant le CNE;Ce sont des prix décernés par JEE pendant la Spring Conference à Venise;Ce sont des prix décernés par la CNJE pendant la JEX,Ce sont des prix décernés par JEE pendant la Winter Conference à Bruxelles
Quelle est la plateforme pour pouvoir acceder aux E-learning de la CNJE ?,Kiwi;Kiwi Formation;Junior-Entreprise.org;Kiwi Légal,Kiwi Formation
Quel(s) est(sont) le(s) épreuve(s) pour devenir formateur CNJE ?,Week-end de Formation;Test de connaissance;Acune des trois propositions;Rendu d'un dossier technique et Réalisation une formation à blanc,Rendu d'un dossier technique et Réalisation une formation à blanc
De quand date la première Norme J.I. ?,2015;2018;2020;2016,2018
Quelles sont les régions CNJE ?,"Nord, Nord-Ouest, Ouest, Sud-Ouest,Sud, Est, Centre-Est, Ile de France;Nord, Nord-Ouest, Ouest, Sud-Ouest, Méditerranée, Est, Centre-Est, Ile de France;Nord, Nord-Ouest, Ouest, Sud-Ouest, Méditerranée, Est, Centre, Ile de France;Nord, Nord-Ouest, Ouest, Sud-Ouest, Méditerranée, Sud-Est, Centre-Est, Ile de France","Nord, Nord-Ouest, Ouest, Sud-Ouest, Méditerranée, Est, Centre-Est, Ile de France"
"Dans ces propositions,  laquelle n'est pas une sanction d'audit ?",Rétrogradation;Procédure principal d'urgence;Avertissement conservatoire;Avertissement statutaire,Avertissement statutaire
Où est située la plus grosse confédération nationale de Juniors ?,En Afrique avec plus de 700 Juniors.;En Asie avec plus de 700 Juniors.;En Europe avec plus de 700 Juniors.;Au Brésil avec plus de 700 Juniors.,Au Brésil avec plus de 700 Juniors.
Quelle est la fréquence de l'audit d'une Junior-Entreprise ?,2 ans;6 mois;3 mois;1 an,1 an
Qu'est-ce qu'un parrainage ?,Un partenariat entre une J.E. et une Junior Hors-Mouvement ou J.C. ou J.I.;Un partenariat entre une Junior ingénieure et une Junior commerciale.,Un partenariat entre une J.E. et une Junior Hors-Mouvement ou J.C. ou J.I.
"Dans ces propositions, quel prix n'est pas présenté au CNH ?",Prix du Meilleur Accompagnement des intervenants;Prix RSE;Prix de la Meilleure Stratégie de Communication;Prix de la Meilleure Stratégie de Développement Commercial,Prix de la Meilleure Stratégie de Communication
Qu'est-ce que WEFA ?,Un congrès spécifique pour les Junior;Un week-end de sélection et de formation pour les futurs Auditeur-Conseil;Un week-end de recrutement pour la futur équipe CNJE;Le dernier congrès d'hiver,Un week-end de sélection et de formation pour les futurs Auditeur-Conseil
Quel est le nombre minimum de mission et d'intervenant à avoir sur 1 an pour avoir le statut de Junior-Entreprise ?,2 missions et 1 intervenant;4 missions et 5 intervenants;3 missions et 3 intervenants;3 missions et 2 intervenants,3 missions et 3 intervenants
Combien y a t-il de régions CNJE ?,8;5;7;6,8
Pour obtenir la Norme J.E. il faut ?,"2 études, 2 intervenants différents et un CA de 1 500€ HT signé;3 études, 3 intervenants diférrents et un CA de 6 000€ HT signé;3 études, 3 intervenants différents et un CA de 6 000€ HT facturé;2 études, 2 intervenants différents et un CA de 1 500€ HT facturé","3 études, 3 intervenants diférrents et un CA de 6 000€ HT signé"
Combien y a-t-il de Junior-Entreprises en Europe ?,Environ 370 en 2019;Environ 290 en 2019;Environ 220 en 2019;Environ 440 en 2019,Environ 370 en 2019
