question,choices,good_choices
Combien de temps conserve-t-on les récépissés de Préfecture ?,10 ans;5 ans;A vie;3 ans,A vie
"A quoi sert la mention ""Tous droits de reproduction réservés"" sur une Conventon d'Etude",A payer moins de frais de reproduction papier;Avertir le client qu'il n'a pas le droit de diffuser la Convention d'Etude,Avertir le client qu'il n'a pas le droit de diffuser la Convention d'Etude
Peut-on utiliser le permis de conduire comme pièce d'identité dans un dossier étudiant ?,"Non, le permis de conduire ne permet pas de vérifier la nationalité;Oui mais seulement s'il a le permis A1;Aucune des 3 réponses;Oui s'il a la nouvelle version de permis de conduire.","Non, le permis de conduire ne permet pas de vérifier la nationalité"
Est-il possible de prendre plusieurs stagiaires en Junior ?,Oui dans la limite de 2 stagiaires en simultané sur une semaine civile;Oui dans la limite de 5 stagiaires en simultané sur une semaine civile;Oui dans la limite de 6 stagiaires en simultané sur une semaine civile;Oui dans la limite de 3 stagiaires en simultané sur une semaine civile,Oui dans la limite de 3 stagiaires en simultané sur une semaine civile
Comment procéder si un intervenant refuse de signer un Avenant au Récapitulatif de Mission ?,"Il faut faire un avenant de rupture au RM.;Il faut faire un avenant de rupture à la CE et au RM.;Il faut utiliser l'article ""Sanctions"" du Règlement Intérieur;Il suffit de ne pas payer l'étudiant","Il faut utiliser l'article ""Sanctions"" du Règlement Intérieur"
Qu'est ce que le RGPD ?,"C'est le Règlement Général sur la Protection des Données, en application depuis le 25 mai 2020.;C'est la Règlementation Générale sur la Protection des Données, en application depuis le 25 mai 2020.;C'est le Règlement Général sur la Protection des Données, en application depuis le 25 mai 2018.;C'est la Règlementation Générale sur la Protection des Données, en application depuis le 25 mai 2018.","C'est le Règlement Général sur la Protection des Données, en application depuis le 25 mai 2018."
Combien de temps doit-on conserver un questionnaire de satisfaction ?,Aucune durée obligatoire;5 ans;2 ans;5 ans normalement et 10 ans pour une étude avec des documents électroniques,Aucune durée obligatoire
Est-il possible de renvoyer un document d'étude signé par mail ?,"Aucune des 3 réponses;Impossible, le document scanné n'a pas de valeur légale en droit civil.;C'est possible, uniquement si le document est paraphé.;C'est possible, dans tous les cas","Impossible, le document scanné n'a pas de valeur légale en droit civil."
Qu'est-ce que la norme ISO 9001 ?,Aucune de ces 3 réponses;C'est une norme délivré par la CNJE aux 30 meilleurs Juniors de France.;Elle certifie la rigueur du système de management par la qualité et l’attention particulière portée à la satisfaction client et à la rigueur et conformité des prestations de services vendues.;C'est le nom de l'ancienne norme J.E.,Elle certifie la rigueur du système de management par la qualité et l’attention particulière portée à la satisfaction client et à la rigueur et conformité des prestations de services vendues.
"Quels sont les deux types de quitus existant en association, et donc en Junior ?",Quitus moral et quitus fiscal;Quitus social et quitus financier;Quitus social et quitus fiscal;Quitus moral et quitus financier,Quitus moral et quitus financier
A quelle fréquence le Conseil d'Administration doit-il se réunir ?,Il doit se réunir au moins 1 fois par mois.;La fréquence de réunion est fixée par les Statuts ou le Règlement Intérieur;Il doit se réunir au moins 1 fois par trimestre.;Il doit se réunir au moins 1 fois par an.,La fréquence de réunion est fixée par les Statuts ou le Règlement Intérieur
Que dois-je penser à mettre dans ma Convention d'Etude dans le cadre d'une étude à l'international ?,Le Tribunal compétent et le droit applicable : le droit du pays du Client;Le Tribunal compétent et le droit applicable : le droit français;Le CA de la CNJE;Le Tribunal compétent et le droit applicable : le droit européen,Le Tribunal compétent et le droit applicable : le droit français
"Une fois la nouvelle équipe élue, quelle formalité remplir avec la Préfecture pour les Juniors hors Alsace-Moselle?",Déclarer la nouvelle équipe en préfecture sous 6 mois;Déclarer la nouvelle équipe en préfecture sous 3 mois;Déclarer la nouvelle équipe en préfecture sous 4 mois;Déclarer la nouvelle équipe en préfecture sous 2 mois,Déclarer la nouvelle équipe en préfecture sous 3 mois
Une Junior peut-elle accepter une mission sans plus-value pédagogique ?,"Jamais;Oui si sous-traitance entre Juniors, la Junior sous-traitante conserve l'analyse;Dans un seul cas : le Client est un alumni;Oui si sous-traitance entre Juniors, la Junior sous-traitée conserve l'analyse","Oui si sous-traitance entre Juniors, la Junior sous-traitante conserve l'analyse"
Qu'est-ce que la CNIL ?,Conseil National de l'Informatique et des Libertés;Commission Nationale de l'Informatique et des Libertés;Commission Nationale de l'Information et des Libertés;Conseil National de l'Information et des Libertés,Commission Nationale de l'Informatique et des Libertés
Quelle mention doit obligatoirement figurer à côté du montant TTC sur les documents d'étude ?,TTC au moment du prélèvement;A titre indicatif et au taux actuel de TVA;Selon la TVA européenne et française.,A titre indicatif et au taux actuel de TVA
Qu'est-ce qu'un quorum ?,Le nombre maximal de membres présents d'un corps délibératif nécessaire à la validité d'une décision;Le nombre minimal de membres d'un corps délibératif nécessaire à la validité d'une décision,Le nombre minimal de membres d'un corps délibératif nécessaire à la validité d'une décision
Quel est l'organe souverain d'une Junior ?,"En Junior, il s'agit généralement de l'Assemblée Générale;En Junior, il s'agit généralement du bureau;En Junior, il s'agit généralement du Conseil d'Administration;Aucune des 3 réponses","En Junior, il s'agit généralement de l'Assemblée Générale"
Une Junior peut-elle répondre à un Appel d'Offres Public ?,"Non, c'est interdit;Oui, attention aux documents contractuels et au type d'obligation;Seulement si l'offre est posté sur Kiwi AO","Oui, attention aux documents contractuels et au type d'obligation"
A partir de quand un étudiant est-il considéré comme adhérent ?,"Si cotisation gratuite, a partir de la signature du BV;Si cotisation gratuite, a partir de la signature du RM;Si cotisation gratuite, a partir de la signature du CE;Si cotisation gratuite, apres signature du BA","Si cotisation gratuite, apres signature du BA"
