question,choices,good_choices
La fourchette du JEH est de,80 - 450 € TTC;80 - 450 € HT;80 - 450 € brut;80 - 450 € net,80 - 450 € HT
En quelle année la Lettre de Bérégovoy est-elle rédigée ?,1984;1948;2007;1904,1984
Quel est le cycle du JEH ?,Facturé > Signé > Reversé > Déclaré;Signé > Facturé > Reversé > Déclaré;Signé > Déclaré > Facturé > Reversé;Signé > Facturé > Déclaré > Reversé,Signé > Facturé > Reversé > Déclaré
L'assiette de cotisation est donnée par la formule,4* Nbre de JEH * prix du JEH;SMIC * Nbre de JEH;4 * SMIC * Nbre de JEH;4 * Nbre de JEH,4 * SMIC * Nbre de JEH
Que risque-t-on en cas de falsification de documents d'études ?,6 ans de prison et 30k€ d'amende;4 ans de prison et 30k€ d'amende;5 ans de prison et 45k€ d'amende;3 ans de prison et 45k€ d'amende,3 ans de prison et 45k€ d'amende
Le montant d'un cadeau lors d'un concours de prospection ne peut excéder,1% du CA plafonné à 2000€ et 1000€ par étudiant;2% du CA plafonné à 3000€ et 500€ par étudiant;2% du CA plafonné à 2000€ et 1000€ par étudiant;2% du CA plafonné à 2000€ et 500€ par étudiant,2% du CA plafonné à 2000€ et 500€ par étudiant
Le JEH est une unité de,Facturation;Temps;Mesure du travail,Facturation
Dans quel texte fondateur le JEH est-il défini ?,Loi Waldeck-Rousseau;Lettre de Beregovoy;Lettre de l'ACOSS;Lettre et arrêté ministériel,Lettre et arrêté ministériel
Combien de personnes faut-il pour former une association ? Une Junior-Entreprise ? (hors Alsace-Moselle),"Deux personnes selon la Loi Waldeck Rousseau. La CNJE en impose 3.;Un Trésorier et un SG selon la loi Waldeck Rousseau. La CNJE en impose 3.;Selon la Loi 1901 : un Président, un Trésorier et un SG. Idem pour la CNJE.;Un Président et un SG selon la Loi Waldeck Rousseau. La CNJE en impose 3.",Deux personnes selon la Loi Waldeck Rousseau. La CNJE en impose 3.
Quels sont les points définis dans l'arrêté ministériel et la lettre ministérielle en 1988 ?,"La composition d'une Junior;La possibilité d'une phase sans PvP si suivi d'une phase d'analyse;Le statut fiscal des Juniors : assujettissement à la TVA, à l'IS...;Le statut social des Juniors, la déclaration de la DAS2, l'unité JEH ...","Le statut social des Juniors, la déclaration de la DAS2, l'unité JEH ..."
Une Junior peut-elle délivrer des prestations en conseil juridique ?,"Non, car il s'agit d'une profession réglementée;Il faut demander au pôle Conseil;Oui s'il y a un caractère pédagogique;Oui","Non, car il s'agit d'une profession réglementée"
Quelle est la fourchette de rétribution pour un intervenant sur un JEH ?,Entre environ 10€ et 315€ net;Entre environ 10€ et 300€ brut;Entre environ 10€ et 300€ net;Entre environ 10€ et 315€ brut,Entre environ 10€ et 300€ brut
Quel texte définit le cadre social des Juniors ?,Loi Waldeck-Rousseau;Lettre de l'ACOSS;Lettre et arrêté ministériel;Lettre de Bérégovoy,Lettre et arrêté ministériel
Le taux d'ouverture est,calculé par rapport à la date de signature des RM et non celle des BV;calculé par rapport à la date d'émission des BV et non celle des RM;le taux de fermeture - 1;1 + le taux de fermeture,calculé par rapport à la date de signature des RM et non celle des BV
Combien de règles contient le code de la déontologie ?,3;4;6;5,6
Quel texte impose aux Juniors l’assujettissement à l'Impôt sur les Sociétés ?,Lettre de l'ACOSS;Lettre et arrêté ministériel;Loi Waldeck-Rousseau;Lettre de Bérégovoy,Lettre de Bérégovoy
Les documents d'études signés électroniquement sont à conserver,A vie;5 ans;10 ans;3 ans,10 ans
Quelle est la date d'émission de la lettre de l'ACOSS ?,2007;1907;2005;2012,2007
